Kecamatan;Kelurahan;latitude;longitude;search_query;gmaps_link
Amuntai Selatan;Cempaka;;;;
Amuntai Selatan;Ilir Mesjid;;;;
Amuntai Selatan;Ujung Murung;;;;
Amuntai Selatan;Jarang Kuantan;;;;
Amuntai Selatan;Kota Raja;;;;
Amuntai Selatan;Jumba;;;;
Amuntai Selatan;Teluk Paring;;;;
Amuntai Selatan;Teluk Baru;;;;
Amuntai Selatan;Cangkering;;;;
Amuntai Selatan;Simpang Empat;;;;
Amuntai Selatan;Rukam Hulu;;;;
Amuntai Selatan;Rukam Hilir;;;;
Amuntai Selatan;Kutai Kecil;;;;
Amuntai Selatan;Padang Darat;;;;
Amuntai Selatan;Telaga Hanyar;;;;
Amuntai Selatan;Murung Sari;;;;
Amuntai Selatan;Mamar;;;;
Amuntai Selatan;Teluk Sari;;;;
Amuntai Selatan;Telaga Sari;;;;
Amuntai Selatan;Simpang Tiga;;;;
Amuntai Selatan;Harusan Telaga;;;;
Amuntai Selatan;Telaga Silaba;;;;
Amuntai Selatan;Banyu Hirang;;;;
Amuntai Selatan;Pulau Tambak;;;;
Amuntai Selatan;Kayakah;;;;
Amuntai Selatan;Bajawit;;;;
Amuntai Selatan;Padang Tanggul;;;;
Amuntai Selatan;Murung Panggang;;;;
Amuntai Tengah;Danau Cermin;;;;
Amuntai Tengah;Pinangkara;;;;
Amuntai Tengah;Pinang Habang;;;;
Amuntai Tengah;Tapus;;;;
Amuntai Tengah;Mawar Sari;;;;
Amuntai Tengah;Datu Kuning;;;;
Amuntai Tengah;Muara Tapus;;;;
Amuntai Tengah;Rantawan;;;;
Amuntai Tengah;Kandang Halang;;;;
Amuntai Tengah;Pasar Senin;;;;
Amuntai Tengah;Kembang Kuning;;;;
Amuntai Tengah;Kota Raden Hilir;;;;
Amuntai Tengah;Kota Raden Hulu;;;;
Amuntai Tengah;Kebun Sari;;;;
Amuntai Tengah;Sungai Karias;;;;
Amuntai Tengah;Hulu Pasar;;;;
Amuntai Tengah;Tambalangan;;;;
Amuntai Tengah;Tangga Ulin Hulu;;;;
Amuntai Tengah;Tangga Ulin Hilir;;;;
Amuntai Tengah;Antasari;;;;
Amuntai Tengah;Murung Sari;;;;
Amuntai Tengah;Paliwara;;;;
Amuntai Tengah;Palampitan Hulu;;;;
Amuntai Tengah;Palampitan Hilir;;;;
Amuntai Tengah;Sungai Malang;;;;
Amuntai Tengah;Tigarun;;;;
Amuntai Tengah;Sungai Baring;;;;
Amuntai Tengah;Harus;;;;
Amuntai Tengah;Harusan;;;;
Landasan Ulin;Landasan Ulin Timur;;;;
Landasan Ulin;Guntung Payung;;;;
Landasan Ulin;Syamsudin Noor;;;;
Landasan Ulin;Guntung Manggis;;;;
Paramasan;Angkipih;;;;
Paramasan;Remo;;;;
Paramasan;Paramasan Bawah;;;;
Paramasan;Paramasan Atas;;;;
Sungai Loban;Sebamban Baru;;;;
Sungai Loban;Sebamban Lama;;;;
Sungai Loban;Dwi Marga Utama;;;;
Sungai Loban;Sungai Dua Laut;;;;
Sungai Loban;Sungai Loban;;;;
Sungai Loban;Marga Mulya;;;;
Sungai Loban;Sari Mulya;;;;
Sungai Loban;Tri Mulya;;;;
Sungai Loban;Kerta Buwana;;;;
Sungai Loban;Tri Martani;;;;
Sungai Loban;Batu Meranti;;;;
Sungai Loban;Sari Utama;;;;
Sungai Loban;Damar Indah;;;;
Sungai Loban;Sumber Sari;;;;
Sungai Loban;Biduri Bersujud;;;;
Sungai Loban;Wanasari;;;;
Sungai Loban;Sumber Makmur;;;;
Amuntai Utara;Pamintangan;;;;
Amuntai Utara;Pakacangan;;;;
Amuntai Utara;Cakeru;;;;
Amuntai Utara;Pakapuran;;;;
Amuntai Utara;Panangkalaan;;;;
Amuntai Utara;Panangkalaan Hulu;;;;
Amuntai Utara;Padang Basar Hilir;;;;
Amuntai Utara;Padang Basar;;;;
Amuntai Utara;Murung Karangan;;;;
Amuntai Utara;Panangian;;;;
Amuntai Utara;Kamayahan;;;;
Amuntai Utara;Teluk Daun;;;;
Amuntai Utara;Kuangan;;;;
Amuntai Utara;Sungai Turak;;;;
Amuntai Utara;Telaga Bamban;;;;
Amuntai Utara;Tabalong Mati;;;;
Amuntai Utara;Sungai Turak Dalam;;;;
Amuntai Utara;Muara Baruh;;;;
Amuntai Utara;Panyaungan;;;;
Amuntai Utara;Pandawanan;;;;
Amuntai Utara;Pimping;;;;
Amuntai Utara;Padang Luar;;;;
Amuntai Utara;Air Tawar;;;;
Amuntai Utara;Tayur;;;;
Amuntai Utara;Guntung;;;;
Amuntai Utara;Tabing Liring;;;;
Angsana;Sumber Baru;;;;
Angsana;Angsana;;;;
Angsana;Bunati;;;;
Angsana;Karang Indah;;;;
Angsana;Banjarsari;;;;
Angsana;Bayansari;;;;
Angsana;Purwodadi;;;;
Angsana;Makmur;;;;
Angsana;Mekar Jaya;;;;
Banjarbaru Utara;Loktabat Utara;;;;
Banjarbaru Utara;Mentaos;;;;
Banjarbaru Utara;Komet;;;;
Banjarbaru Utara;Sungai Ulin;;;;
Kusan Hulu;Bakarangan;;;;
Kusan Hulu;Karang Mulya;;;;
Kusan Hulu;Harapan Jaya;;;;
Kusan Hulu;Lasung;;;;
Kusan Hulu;Sungai Rukam;;;;
Kusan Hulu;Manuntung;;;;
Kusan Hulu;Anjir Baru;;;;
Kusan Hulu;Binawara;;;;
Kusan Hulu;Pacakan;;;;
Kusan Hulu;Wonorejo;;;;
Kusan Hulu;Karang Sari;;;;
Tapin Utara;Antasari Hilir;;;;
Tapin Utara;Antasari;;;;
Tapin Utara;Perintis Raya;;;;
Tapin Utara;Banua Halat Kiri;;;;
Tapin Utara;Lumbu Raya;;;;
Tapin Utara;Keramat;;;;
Tapin Utara;Banua Halat Kanan;;;;
Tapin Utara;Jingah Babaris;;;;
Tapin Utara;Kakaran;;;;
Tapin Utara;Badaun;;;;
Tapin Utara;Banua Hanyar Hulu;;;;
Tapin Utara;Banua Hanyar;;;;
Tapin Utara;Kupang;;;;
Tapin Utara;Rangda Malingkung;;;;
Tapin Utara;Rantau Kiwa;;;;
Tapin Utara;Rantau Kanan;;;;
Anjir Muara;Anjir Serapat Baru I;;;;
Anjir Muara;Anjir Serapat Baru;;;;
Anjir Muara;Sepakat Bersama;;;;
Anjir Muara;Anjir Serapat Lama;;;;
Anjir Muara;Anjir Serapat Muara;;;;
Anjir Muara;Anjir Serapat Muara I;;;;
Anjir Muara;Marabahan Baru;;;;
Anjir Muara;Anjir Muara Kota;;;;
Anjir Muara;Patih Muhur;;;;
Anjir Muara;Anjir Muara Kota Tengah;;;;
Anjir Muara;Beringin Jaya;;;;
Anjir Muara;Anjir Muara Lama;;;;
Anjir Muara;Sungai Punggu Baru;;;;
Anjir Muara;Patih Muhur Baru;;;;
Anjir Muara;Sungai Punggu;;;;
Babirik;Murung Kupang;;;;
Babirik;Babirik Hilir;;;;
Babirik;Babirik Hulu;;;;
Babirik;Sungai Janjam;;;;
Babirik;Sungai Durait Hilir;;;;
Babirik;Sungai Durait Tengah;;;;
Babirik;Sungai Durait Hulu;;;;
Babirik;Hambuku Lima;;;;
Babirik;Hambuku Baru;;;;
Babirik;Hambuku Hilir;;;;
Babirik;Murung Panti Hulu;;;;
Babirik;Murung Panti Hilir;;;;
Babirik;Teluk Limbung;;;;
Babirik;Sungai Papuyu;;;;
Babirik;Kalumpang Luar;;;;
Babirik;Kalumpang Dalam;;;;
Babirik;Sungai Luang Hilir;;;;
Babirik;Parupukan;;;;
Babirik;Sungai Nyiur;;;;
Babirik;Sungai Luang Hulu;;;;
Babirik;Sungai Dalam;;;;
Babirik;Pajukungan Hilir;;;;
Babirik;Pajukungan Hulu;;;;
Haur Gading;Palimbangan Gusti;;;;
Haur Gading;Palimbangan;;;;
Haur Gading;Bayur;;;;
Haur Gading;Lok Suga;;;;
Haur Gading;Palimbang Sari;;;;
Haur Gading;Jingah Bujur;;;;
Haur Gading;Tambak Sari Panji;;;;
Haur Gading;Pulantani;;;;
