Kecamatan;Kelurahan;latitude;longitude;search_query;gmaps_link
Anjir Pasar;Anjir Pasar Lama;;;;
Anjir Pasar;Anjir Pasar Kota II;;;;
Anjir Pasar;Anjir Pasar Kota;;;;
Anjir Pasar;Barunai Baru;;;;
Anjir Pasar;Hilir Mesjid;;;;
Anjir Pasar;Banyiur;;;;
Anjir Pasar;Danau Karya;;;;
Anjir Pasar;Mentaren;;;;
Anjir Pasar;Gandaria;;;;
Anjir Pasar;Gandaraya;;;;
Bati-Bati;Benua Raya;;;;
Bati-Bati;Bati-Bati;;;;
Bati-Bati;Padang;;;;
Bati-Bati;Ujung;;;;
Bati-Bati;Ujung Baru;;;;
Bati-Bati;Nusa Indah;;;;
Bati-Bati;Kait-Kait;;;;
Bati-Bati;Kait-Kait Baru;;;;
Bati-Bati;Bentok Darat;;;;
Bati-Bati;Banyu Irang;;;;
Bati-Bati;Bentok Kampung;;;;
Bati-Bati;Sambangan;;;;
Bati-Bati;Liang Anggang;;;;
Bati-Bati;Pandahan;;;;
Daha Barat;Bajayau Lama;;;;
Daha Barat;Tanjung Selor;;;;
Daha Barat;Badaun;;;;
Daha Barat;Bajayau Tengah;;;;
Daha Barat;Bajayau;;;;
Daha Barat;Baru;;;;
Daha Barat;Siang Gantung;;;;
Hantakan;Kindingan;;;;
Hantakan;Haruyan Dayak;;;;
Hantakan;Tilahan;;;;
Hantakan;Pasting;;;;
Hantakan;Batu Tunggal;;;;
Hantakan;Bulayak;;;;
Hantakan;Murung B;;;;
Hantakan;Datar Ajab;;;;
Hantakan;Alat;;;;
Hantakan;Hantakan;;;;
Hantakan;Hinas Kanan;;;;
Hantakan;Patikalain;;;;
Kalumpang;Balimau;;;;
Kalumpang;Karang Paci;;;;
Kalumpang;Bago Tanggul;;;;
Kalumpang;Karang Bulan;;;;
Kalumpang;Balanti;;;;
Kalumpang;Kalumpang;;;;
Kalumpang;Tambingkar;;;;
Kalumpang;Sirih;;;;
Kalumpang;Sirih Hulu;;;;
Pamukan Utara;Bepara;;;;
Pamukan Utara;Bakau;;;;
Pamukan Utara;Kalian;;;;
Pamukan Utara;Binturung;;;;
Pamukan Utara;Harapan Baru;;;;
Pamukan Utara;Tamiang;;;;
Pamukan Utara;Lintang Jaya;;;;
Pamukan Utara;Mulyo Harjo;;;;
Pamukan Utara;Wonorejo;;;;
Pamukan Utara;Pamukan Indah;;;;
Pamukan Utara;Balaimea;;;;
Pamukan Utara;Betung;;;;
Pamukan Utara;Sekayu Baru;;;;
Alalak;Pulau Sugara;;;;
Alalak;Pulau Sewangi;;;;
Alalak;Pulau Alalak;;;;
Alalak;Semangat Karya;;;;
Alalak;Semangat Bakti;;;;
Alalak;Semangat Dalam;;;;
Alalak;Tatah Mesjid;;;;
Alalak;Berangas Timur;;;;
Alalak;Sungai Lumbah;;;;
Alalak;Beringin;;;;
Alalak;Sungai Pitung;;;;
Alalak;Belandean Muara;;;;
Alalak;Belandean;;;;
Alalak;Panca Karya;;;;
Alalak;Tanjung Harapan;;;;
Alalak;Handil Bakti;;;;
Alalak;Berangas;;;;
Alalak;Berangas Barat;;;;
Batang Alai Selatan;Tanah Habang;;;;
Batang Alai Selatan;Cukan Lipai;;;;
Batang Alai Selatan;Paya;;;;
Batang Alai Selatan;Kias;;;;
Batang Alai Selatan;Kapar;;;;
Batang Alai Selatan;Tembok Bahalang;;;;
Batang Alai Selatan;Banua Rantau;;;;
Batang Alai Selatan;Lok Basar;;;;
Batang Alai Selatan;Lunjuk;;;;
Batang Alai Selatan;Birayang Timur;;;;
Batang Alai Selatan;Birayang;;;;
Batang Alai Selatan;Limbar;;;;
Batang Alai Selatan;Mahela;;;;
Batang Alai Selatan;Birayang Surapati;;;;
Batang Alai Selatan;Wawai;;;;
Batang Alai Selatan;Wawai Gardu;;;;
Batang Alai Selatan;Anduhum;;;;
Batang Alai Selatan;Labuhan;;;;
Batang Alai Selatan;Rangas;;;;
Labuan Amas Selatan;Panggang Marak;;;;
Labuan Amas Selatan;Mundar;;;;
Labuan Amas Selatan;Tabudarat Hilir;;;;
Labuan Amas Selatan;Mahang Baru;;;;
Labuan Amas Selatan;Jamil;;;;
Labuan Amas Selatan;Tabudarat Hulu;;;;
Labuan Amas Selatan;Pantai Hambawang Barat;;;;
Labuan Amas Selatan;Pantai Hambawang Timur;;;;
Labuan Amas Selatan;Banua Kepayang;;;;
Labuan Amas Selatan;Sungai Jaranih;;;;
Labuan Amas Selatan;Batang Bahalang;;;;
Labuan Amas Selatan;Ta'al;;;;
Labuan Amas Selatan;Murung Ta'al;;;;
Labuan Amas Selatan;Sungai Rangas;;;;
Labuan Amas Selatan;Durian Gantang;;;;
Labuan Amas Selatan;Guha;;;;
Labuan Amas Selatan;Bangkal;;;;
Labuan Amas Selatan;Taras Padang;;;;
Labuan Amas Utara;Pahalatan;;;;
Labuan Amas Utara;Parumahan;;;;
Labuan Amas Utara;Kadundung;;;;
Labuan Amas Utara;Kasarangan;;;;
Labuan Amas Utara;Pemangkih Seberang;;;;
Labuan Amas Utara;Tabat;;;;
Labuan Amas Utara;Mantaas;;;;
Labuan Amas Utara;Rantau Bujur;;;;
Labuan Amas Utara;Binjai Pirua;;;;
Labuan Amas Utara;Binjai Pemangkih;;;;
Labuan Amas Utara;Tungkup;;;;
Labuan Amas Utara;Pemangkih;;;;
Labuan Amas Utara;Rantau Keminting;;;;
Labuan Amas Utara;Banua Kupang;;;;
Labuan Amas Utara;Sungai Buluh;;;;
Labuan Amas Utara;Samhurang;;;;
Sungai Tabuk;Sungai Lulut;;;;
Sungai Tabuk;Gudang Hirang;;;;
Sungai Tabuk;Pematang Panjang;;;;
Sungai Tabuk;Gudang Tengah;;;;
Sungai Tabuk;Abumbun Jaya;;;;
Sungai Tabuk;Sungai Tabuk Kota;;;;
Sungai Tabuk;Sungai Tabuk Keramat;;;;
Sungai Tabuk;Pemakuan;;;;
Sungai Tabuk;Sungai Pinang Lama;;;;
Sungai Tabuk;Lok Baintan;;;;
Sungai Tabuk;Sungai Bakung;;;;
Sungai Tabuk;Sungai Tandipah;;;;
Sungai Tabuk;Paku Alam;;;;
Sungai Tabuk;Lok Baintan Dalam;;;;
Sungai Tabuk;Sungai Pinang Baru;;;;
Sungai Tabuk;Pembantanan;;;;
Sungai Tabuk;Lok Buntar;;;;
Sungai Tabuk;Pejambuan;;;;
Sungai Tabuk;Sungai Bangkal;;;;
Sungai Tabuk;Keliling Benteng Ilir;;;;
Sungai Tabuk;Tajau Landung;;;;
Telaga Bauntung;Telaga Baru;;;;
Telaga Bauntung;Lok Tanah;;;;
Telaga Bauntung;Rantau Bujur;;;;
Telaga Bauntung;Rampah;;;;
Batang Alai Timur;Juhu;;;;
Batang Alai Timur;Hinas Kiri;;;;
Batang Alai Timur;Atiran;;;;
Batang Alai Timur;Muara Hungi;;;;
Batang Alai Timur;Pembakulan;;;;
Batang Alai Timur;Nateh;;;;
Batang Alai Timur;Batu Tangga;;;;
Batang Alai Timur;Tandilang;;;;
Batang Alai Timur;Batu Perahu;;;;
Batang Alai Timur;Aing Bantai;;;;
Batang Alai Timur;Datar Batung;;;;
Batang Alai Utara;Sumanggi;;;;
Batang Alai Utara;Ilung Pasar Lama;;;;
Batang Alai Utara;Dangu;;;;
Batang Alai Utara;Hapingin;;;;
Batang Alai Utara;Ilung;;;;
Batang Alai Utara;Ilung Tengah;;;;
Batang Alai Utara;Sumanggi Seberang;;;;
Batang Alai Utara;Awang Baru;;;;
Batang Alai Utara;Awang;;;;
Batang Alai Utara;Maringgit;;;;
Batang Alai Utara;Labunganak;;;;
Batang Alai Utara;Muara Rintis;;;;
Batang Alai Utara;Telang;;;;
Batang Alai Utara;Haur Gading;;;;
Lampihong;Teluk Karya;;;;
Lampihong;Matang Lurus;;;;
Lampihong;Pimping;;;;
Lampihong;Tanah Habang Kiri;;;;
Lampihong;Tanah Habang Kanan;;;;
Lampihong;Kandang Jaya;;;;
Lampihong;Jimamun;;;;
Lampihong;Panaitan;;;;
Lampihong;Tampang;;;;
Lampihong;Lok Panginangan;;;;
Lampihong;Lampihong Selatan;;;;
Lampihong;Sungai Tabuk;;;;
Lampihong;Lampihong Kanan;;;;
Lampihong;Batu Merah;;;;
Lampihong;Simpang Tiga;;;;
Lampihong;Hilir Pasar;;;;
Lampihong;Mundar;;;;
Lampihong;Matang Hanau;;;;
Lampihong;Lampihong Kiri;;;;
Lampihong;Sungai Awang;;;;
Lampihong;Pupuyuan;;;;
Lampihong;Lajar;;;;
Lampihong;Kupang;;;;
Lampihong;Lok Hamawang;;;;
Lampihong;Kusambi Hilir;;;;
Lampihong;Kusambi Hulu;;;;
Lampihong;Jungkal;;;;
Martapura Barat;Penggalaman;;;;
Martapura Barat;Sungai Batang;;;;
Martapura Barat;Teluk Selong Ulu;;;;
Martapura Barat;Teluk Selong;;;;
Martapura Barat;Tangkas;;;;
Martapura Barat;Sungai Batang Ilir;;;;
Martapura Barat;Sungai Rangas Ulu;;;;
Martapura Barat;Sungai Rangas Hambuku;;;;
Martapura Barat;Sungai Rangas Tengah;;;;
Martapura Barat;Sungai Rangas;;;;
Martapura Barat;Keliling Benteng Ulu;;;;
Martapura Barat;Keliling Benteng Tengah;;;;
Martapura Barat;Antasan Sutun;;;;
Panyipatan;Batakan;;;;
Panyipatan;Tanjung Dewa;;;;
Panyipatan;Kandangan Lama;;;;
Panyipatan;Batu Tungku;;;;
Panyipatan;Kuringkit;;;;
Panyipatan;Bumi Asih;;;;
Panyipatan;Batu Mulya;;;;
Panyipatan;Suka Ramah;;;;
Panyipatan;Panyipatan;;;;
Panyipatan;Kandangan Baru;;;;
Rantau Badauh;Sungai Pantai;;;;
Rantau Badauh;Pindahan Baru;;;;
Rantau Badauh;Danda Jaya;;;;
Rantau Badauh;Sungai Gampa Asahi;;;;
Rantau Badauh;Sungai Bamban;;;;
Rantau Badauh;Sungai Gampa;;;;
Rantau Badauh;Sungai Sahurai;;;;
Rantau Badauh;Simpang Arja;;;;
Rantau Badauh;Sinar Baru;;;;
Barabai;Pajukungan;;;;
Barabai;Bukat;;;;
Barabai;Barabai Barat;;;;
Barabai;Barabai Utara;;;;
Barabai;Barabai Selatan;;;;
Barabai;Barabai Darat;;;;
Barabai;Benawa Tengah;;;;
Barabai;Kayu Bawang;;;;
Barabai;Awang Besar;;;;
Barabai;Gambah;;;;
Barabai;Mandingin;;;;
Barabai;Barabai Timur;;;;
Barabai;Banua Binjai;;;;
Barabai;Banua Budi;;;;
Barabai;Babai;;;;
Barabai;Banua Jingah;;;;
Barabai;Bakapas;;;;
Barabai;Ayuang;;;;
Batu Mandi;Gunung Manau;;;;
Batu Mandi;Tariwin;;;;
Batu Mandi;Lok Batu;;;;
Batu Mandi;Bakung;;;;
Batu Mandi;Karuh;;;;
Batu Mandi;Munjung;;;;
Batu Mandi;Pelajau;;;;
Batu Mandi;Kasai;;;;
Batu Mandi;Hamparaya;;;;
Batu Mandi;Timbun Tulang;;;;
Batu Mandi;Teluk Mesjid;;;;
Batu Mandi;Batu Mandi;;;;
Batu Mandi;Bungur;;;;
Batu Mandi;Riwa;;;;
Batu Mandi;Guha;;;;
Batu Mandi;Mantimin;;;;
Batu Mandi;Banua Hanyar;;;;
Batu Mandi;Mampari;;;;
Pandawan;Masiraan;;;;
Pandawan;Jaranih;;;;
Pandawan;Banua Hanyar;;;;
Pandawan;Banua Asam;;;;
Pandawan;Matang Ginalon;;;;
Pandawan;Hulu Rasau;;;;
Pandawan;Banua Supanggal;;;;
Pandawan;Mahang Putat;;;;
Pandawan;Mahang Sungai Hanyar;;;;
Pandawan;Mahang Matang Landung;;;;
Pandawan;Buluan;;;;
Pandawan;Pandawan;;;;
Pandawan;Banua Batung;;;;
Pandawan;Jatuh;;;;
Pandawan;Hilir Banua;;;;
Pandawan;Kambat Selatan;;;;
Pandawan;Walatung;;;;
Pandawan;Kayu Rabah;;;;
Pandawan;Setiap;;;;
Pandawan;Kambat Utara;;;;
Pandawan;Palajau;;;;
Sambung Makmur;Madurejo;;;;
Sambung Makmur;Batu Tanam;;;;
Sambung Makmur;Gunung Batu;;;;
Sambung Makmur;Baliangin;;;;
Sambung Makmur;Batang Banyu;;;;
Sambung Makmur;Sungai Lurus;;;;
Sambung Makmur;Pasar Baru;;;;
Tamban;Sekata Baru;;;;
Tamban;Damsari;;;;
Tamban;Purwosari II;;;;
Tamban;Sidorejo;;;;
Tamban;Koanda;;;;
Tamban;Purwosari Baru;;;;
Tamban;Tamban Sari Baru;;;;
Tamban;Purwosari I;;;;
Tamban;Tamban Bangun;;;;
Tamban;Tamban Bangun Baru;;;;
Tamban;Tamban Muara Baru;;;;
Tamban;Tamban Muara;;;;
Tamban;Tamban Kecil;;;;
Tamban;Tinggiran II Luar;;;;
Tamban;Jelapat I;;;;
Tamban;Jelapat Baru;;;;
Tatah Makmur;Tatah Bangkal;;;;
Tatah Makmur;Bangkal Tengah;;;;
Tatah Makmur;Layap Baru;;;;
Tatah Makmur;Tampang Awang;;;;
Tatah Makmur;Pemangkih Darat;;;;
Tatah Makmur;Pemangkih Baru;;;;
Tatah Makmur;Jaruju Laut;;;;
Tatah Makmur;Tatah Jaruju;;;;
Tatah Makmur;Pemangkih Tengah;;;;
Tatah Makmur;Thaibah Raya;;;;
Tatah Makmur;Tatah Layap;;;;
Tatah Makmur;Mekar Sari;;;;
Tatah Makmur;Pandan Sari;;;;
Awayan;Nungka;;;;
Awayan;Tundakan;;;;
Awayan;Ambakiyang;;;;
Awayan;Piyait;;;;
Awayan;Baramban;;;;
Awayan;Bihara;;;;
Awayan;Bihara Hilir;;;;
Awayan;Muara Jaya;;;;
Awayan;Pematang;;;;
Awayan;Sungai Pumpung;;;;
Awayan;Merah;;;;
Awayan;Kedondong;;;;
Awayan;Pulantan;;;;
Awayan;Putat Basiun;;;;
Awayan;Awayan;;;;
Awayan;Awayan Hilir;;;;
Awayan;Badalungga Hilir;;;;
Awayan;Badalungga;;;;
Awayan;Sikontan;;;;
Awayan;Tundi;;;;
Awayan;Pudak;;;;
Awayan;Baru;;;;
Awayan;Tangalin;;;;
Halong;Binuang Santang;;;;
Halong;Marajai;;;;
Halong;Mauya;;;;
Halong;Mantuyan;;;;
Halong;Tabuan;;;;
Halong;Buntu Pilanduk;;;;
Halong;Uren;;;;
Halong;Mamantang;;;;
Halong;Kapul;;;;
Halong;Halong;;;;
Halong;Binjai Punggal;;;;
Halong;Baruh Panyambaran;;;;
Halong;Binju;;;;
Halong;Bangkal;;;;
Halong;Suryatama;;;;
Halong;Ha Uwai;;;;
Halong;Karya;;;;
Halong;Puyun;;;;
Halong;Gunung Riut;;;;
Halong;Liyu;;;;
Halong;Aniungan;;;;
Halong;Mamigang;;;;
Halong;Padang Raya;;;;
Halong;Sumber Agung;;;;
Mandastana;Lok Rawa;;;;
Mandastana;Terantang;;;;
Mandastana;Sungai Ramania;;;;
Mandastana;Puntik Luar;;;;
Mandastana;Puntik Tengah;;;;
Mandastana;Puntik Dalam;;;;
Mandastana;Karang Indah;;;;
Mandastana;Karang Bunga;;;;
Mandastana;Tabing Rimbah;;;;
Mandastana;Bangkit Baru;;;;
Mandastana;Tanipah;;;;
Mandastana;Tatah Alayung;;;;
Mandastana;Antasan Segara;;;;
Mandastana;Pantai Hambawang;;;;
Paringin;Lamida Bawah;;;;
Paringin;Lok Batung;;;;
Paringin;Babayau;;;;
Paringin;Paran;;;;
Paringin;Mangkayahu;;;;
Paringin;Balang;;;;
Paringin;Murung Ilung;;;;
Paringin;Hujan Mas;;;;
Paringin;Kalahiang;;;;
Paringin;Layap;;;;
Paringin;Paringin Kota;;;;
Paringin;Paringin Timur;;;;
Paringin;Balida;;;;
Paringin;Lasung Batu;;;;
Paringin;Sungai Ketapi;;;;
Paringin;Dahai;;;;
Paringin Selatan;Murung Jambu;;;;
Paringin Selatan;Halubau;;;;
Paringin Selatan;Panggung;;;;
Paringin Selatan;Inan;;;;
Paringin Selatan;Murung Abuin;;;;
Paringin Selatan;Baruh Bahinu Dalam;;;;
Paringin Selatan;Binjai;;;;
Paringin Selatan;Telaga Purun;;;;
Paringin Selatan;Galumbang;;;;
Paringin Selatan;Maradap;;;;
Paringin Selatan;Baruh Bahinu Luar;;;;
Paringin Selatan;Bungin;;;;
Paringin Selatan;Lingsir;;;;
Paringin Selatan;Halubau Utara;;;;
Paringin Selatan;Tarangan;;;;
Paringin Selatan;Batu Piring;;;;
Wanaraya;Tumih;;;;
Wanaraya;Roham Raya;;;;
Wanaraya;Belawang Kolam Kiri;;;;
Wanaraya;Babat Raya;;;;
Wanaraya;Belawang Kolam Kanan;;;;
Wanaraya;Sido Mulyo;;;;
Wanaraya;Kolam Makmur;;;;
Wanaraya;Simpang Jaya;;;;
Wanaraya;Waringin Kencana;;;;
Wanaraya;Pinang Habang;;;;
Wanaraya;Surya Kanta;;;;
Wanaraya;Sumber Rahayu;;;;
Wanaraya;Dwi Pasari;;;;
Astambul;Pingaran Ilir;;;;
Astambul;Pingaran Ulu;;;;
Astambul;Banua Anyar Danau Salak;;;;
Astambul;Astambul Seberang;;;;
Astambul;Astambul Kota;;;;
Astambul;Jati Baru;;;;
Astambul;Danau Salak;;;;
Astambul;Pasar Jati;;;;
Astambul;Sungai Alat;;;;
Astambul;Sungai Tuan Ulu;;;;
Astambul;Sungai Tuan Ilir;;;;
Astambul;Banua Anyar Sungai Tuan;;;;
Astambul;Tambangan;;;;
Astambul;Kelampaian Ilir;;;;
Astambul;Munggu Raya;;;;
Astambul;Kelampaian Tengah;;;;
Astambul;Kelampaian Ulu;;;;
Astambul;Limamar;;;;
Astambul;Lok Gabang;;;;
Astambul;Kaliukan;;;;
Astambul;Tambak Danau;;;;
Astambul;Pematang Hambawang;;;;
Batu Benawa;Murung A.;;;;
Batu Benawa;Pagat;;;;
Batu Benawa;Haliau;;;;
Batu Benawa;Baru;;;;
Batu Benawa;Aluan Mati;;;;
Batu Benawa;Aluan Sumur;;;;
Batu Benawa;Kalibaru;;;;
Batu Benawa;Layuh;;;;
Batu Benawa;Kahakan;;;;
Batu Benawa;Bakti;;;;
Batu Benawa;Aluan Besar;;;;
Batu Benawa;Paya Besar;;;;
Batu Benawa;Pantai Batung;;;;
Batu Benawa;Aluan;;;;
Beruntung Baru;Pindahan Baru;;;;
Beruntung Baru;Haur Kuning;;;;
Beruntung Baru;Salat Makmur;;;;
Beruntung Baru;Kampung Baru;;;;
Beruntung Baru;Tambak Padi;;;;
Beruntung Baru;Lawahan;;;;
Beruntung Baru;Babirik;;;;
Beruntung Baru;Jambu Raya;;;;
Beruntung Baru;Handil Purai;;;;
Beruntung Baru;Muara Halayung;;;;
Beruntung Baru;Jambu Burung;;;;
Beruntung Baru;Rumpiang;;;;
Juai;Pamurus;;;;
Juai;Gulinggang;;;;
Juai;Sungai Batung;;;;
Juai;Tawahan;;;;
Juai;Tigarun;;;;
Juai;Panimbaan;;;;
Juai;Galumbang;;;;
Juai;Juai;;;;
Juai;Teluk Bayur;;;;
Juai;Mungkur Uyam;;;;
Juai;Sirap;;;;
Juai;Hamarung;;;;
Juai;Hukai;;;;
Juai;Muara Ninian;;;;
Juai;Marias;;;;
Juai;Buntu Karau;;;;
Juai;Wonorejo;;;;
Juai;Sumber Rejeki;;;;
Juai;Bata;;;;
Juai;Mihu;;;;
Juai;Lalayau;;;;
Marabahan;Bagus;;;;
Marabahan;Baliuk;;;;
Marabahan;Penghulu;;;;
Marabahan;Antar Baru;;;;
Marabahan;Antar Raya;;;;
Marabahan;Antar Jaya;;;;
Marabahan;Sido Makmur;;;;
Marabahan;Karya Maju;;;;
Marabahan;Marabahan Kota;;;;
Marabahan;Ulu Benteng;;;;
Tabukan;Pantang Baru;;;;
Tabukan;Pantang Raya;;;;
Tabukan;Bandar Karya;;;;
Tabukan;Tabukan Raya;;;;
Tabukan;Karya Indah;;;;
Tabukan;Karya Jadi;;;;
Tabukan;Karya Makmur;;;;
Tabukan;Teluk Tamba;;;;
Tabukan;Tamba Jaya;;;;
Tabukan;Rantau Bamban;;;;
Tabukan;Muara Pulau;;;;
Barambai;Handil Barabai;;;;
Barambai;Sungai Kali;;;;
Barambai;Bagagap;;;;
Barambai;Barambai;;;;
Barambai;Karya Baru;;;;
Barambai;Karya Tani;;;;
Barambai;Barambai Kolam Kiri;;;;
Barambai;Barambai Kolam Kanan;;;;
Barambai;Pendalaman;;;;
Barambai;Pendalaman Baru;;;;
Barambai;Kolam Kiri Dalam;;;;
Belawang;Rangga Surya;;;;
Belawang;Karang Buah;;;;
Belawang;Karang Dukuh;;;;
Belawang;Samuda;;;;
Belawang;Murung Keramat;;;;
Belawang;Sungai Seluang Pasar;;;;
Belawang;Sungai Seluang;;;;
Belawang;Binaan Baru;;;;
Belawang;Belawang;;;;
Belawang;Parimata;;;;
Belawang;Patih Salera;;;;
Belawang;Bambangin;;;;
Belawang;Sukaramai;;;;
Haruyan;Pengambau Hilir Luar;;;;
Haruyan;Pengambau Hilir Dalam;;;;
Haruyan;Tabat Padang;;;;
Haruyan;Lok Buntar;;;;
Haruyan;Pengambau Hulu;;;;
Haruyan;Sungai Harang;;;;
Haruyan;Batu Panggung;;;;
Haruyan;Hapulang;;;;
Haruyan;Mangunang;;;;
Haruyan;Mangunang Seberang;;;;
Haruyan;Haruyan Seberang;;;;
Haruyan;Haruyan;;;;
Haruyan;Andang;;;;
Haruyan;Teluk Mesjid;;;;
Haruyan;Barikin;;;;
Haruyan;Panggung;;;;
Haruyan;Pandanu;;;;
Muara Uya;Ribang;;;;
Muara Uya;Kupang Nunding;;;;
Muara Uya;Mangkupum;;;;
Muara Uya;Kampung Baru;;;;
Muara Uya;Palapi;;;;
Muara Uya;Pasar Batu;;;;
Muara Uya;Simpung Layung;;;;
Muara Uya;Uwie;;;;
Muara Uya;Muara Uya;;;;
Muara Uya;Lumbang;;;;
Muara Uya;Santuun;;;;
Muara Uya;Binjai;;;;
Muara Uya;Salikung;;;;
Muara Uya;Sungai Kumap;;;;
Murung Pudak;Sulingan;;;;
Murung Pudak;Pembataan;;;;
Murung Pudak;Mabuun;;;;
Murung Pudak;Maburai;;;;
Murung Pudak;Belimbing Raya;;;;
Murung Pudak;Belimbing;;;;
Murung Pudak;Kapar;;;;
Murung Pudak;Masukau;;;;
Murung Pudak;Kasiau;;;;
Murung Pudak;Kasiau Raya;;;;
Tebing Tinggi;Ju'uh;;;;
Tebing Tinggi;Sungsum;;;;
Tebing Tinggi;Auh;;;;
Tebing Tinggi;Dayak Pitap;;;;
Tebing Tinggi;Langkap;;;;
Tebing Tinggi;Mayanau;;;;
Tebing Tinggi;Simpang Bumbuan;;;;
Tebing Tinggi;Simpang Nadong;;;;
Tebing Tinggi;Gunung Batu;;;;
Tebing Tinggi;Tebing Tinggi;;;;
Tebing Tinggi;Ajung;;;;
Tebing Tinggi;Kambiyain;;;;
Cerbon;Sungai Rasau;;;;
Cerbon;Sungai Tunjang;;;;
Cerbon;Simpang Nungki;;;;
Cerbon;Sawahan;;;;
Cerbon;Bantuil;;;;
Cerbon;Badandan;;;;
Cerbon;Sungai Raya;;;;
Cerbon;Sungai Kambat;;;;
Haruai;Lok Batu;;;;
Haruai;Kembang Kuning;;;;
Haruai;Seradang;;;;
Haruai;Halong;;;;
Haruai;Suput;;;;
Haruai;Catur Karya;;;;
Haruai;Mahe Pasar;;;;
Haruai;Suriyan;;;;
Haruai;Hayup;;;;
Haruai;Bongkang;;;;
Haruai;Wirang;;;;
Haruai;Nawin;;;;
Haruai;Marindi;;;;
Limpasu;Limpasu;;;;
Limpasu;Kabang;;;;
Limpasu;Tapuk;;;;
Limpasu;Pauh;;;;
Limpasu;Hawang;;;;
Limpasu;Karatungan;;;;
Limpasu;Abung;;;;
Limpasu;Abung Surapati;;;;
Limpasu;Karau;;;;
Mekarsari;Tamban Raya;;;;
Mekarsari;Tamban Raya Baru;;;;
Mekarsari;Karang Mekar;;;;
Mekarsari;Indah Sari;;;;
Mekarsari;Mekar Sari;;;;
Mekarsari;Tinggiran Darat;;;;
Mekarsari;Jelapat II;;;;
Mekarsari;Tinggiran Tengah;;;;
Mekarsari;Tinggiran Baru;;;;
Pugaan;Pampanan;;;;
Pugaan;Tamunti;;;;
Pugaan;Pugaan;;;;
Pugaan;Halangan;;;;
Pugaan;Sungai Rukam I;;;;
Pugaan;Sungai Rukam II;;;;
Pugaan;Jirak;;;;
Tanjung;Banyu Tajun;;;;
Tanjung;Sungai Pimping;;;;
Tanjung;Pamarangan Kiwa;;;;
Tanjung;Puain Kiwa;;;;
Tanjung;Jangkung;;;;
Tanjung;Tanjung;;;;
Tanjung;Agung;;;;
Tanjung;Kambitin;;;;
Tanjung;Hikun;;;;
Tanjung;Kambitin Raya;;;;
Tanjung;Wayau;;;;
Tanjung;Juai;;;;
Tanjung;Garunggung;;;;
Tanjung;Kitang;;;;
Tanjung;Mahe Seberang;;;;
Bakumpai;Batik;;;;
Bakumpai;Bahalayung;;;;
Bakumpai;Banua Anyar;;;;
Bakumpai;Murung Raya;;;;
Bakumpai;Sungai Lirik;;;;
Bakumpai;Banitan;;;;
Bakumpai;Palingkau;;;;
Bakumpai;Balukung;;;;
Bakumpai;Lepasan;;;;
Banua Lawas;Hapalah;;;;
Banua Lawas;Batang Banyu;;;;
Banua Lawas;Sungai Durian;;;;
Banua Lawas;Pematang;;;;
Banua Lawas;Hariang;;;;
Banua Lawas;Bungin;;;;
Banua Lawas;Bangkiling;;;;
Banua Lawas;Bangkiling Raya;;;;
Banua Lawas;Banua Lawas;;;;
Banua Lawas;Habau;;;;
Banua Lawas;Banua Rantau;;;;
Banua Lawas;Habau Hulu;;;;
Banua Lawas;Purai;;;;
Banua Lawas;Talan;;;;
Banua Lawas;Sungai Anyar;;;;
Cintapuri Darussalam;Keramat Mina;;;;
Cintapuri Darussalam;Cintapuri;;;;
Cintapuri Darussalam;Surian Hanyar;;;;
Cintapuri Darussalam;Simpang Lima;;;;
Cintapuri Darussalam;Sindang Jaya;;;;
Cintapuri Darussalam;Karya Makmur;;;;
Cintapuri Darussalam;Makmur Karya;;;;
Cintapuri Darussalam;Alalak Padang;;;;
Cintapuri Darussalam;Benua Anyar;;;;
Cintapuri Darussalam;Garis Hanyar;;;;
Cintapuri Darussalam;Sumber Sari;;;;
Kuripan;Jambu Baru;;;;
Kuripan;Jambu;;;;
Kuripan;Kabuau;;;;
Kuripan;Asia Baru;;;;
Kuripan;Jarenang;;;;
Kuripan;Kuripan;;;;
Kuripan;Rimbun Tulang;;;;
Kuripan;Tabatan;;;;
Kuripan;Tabatan Baru;;;;
Pelaihari;Sungai Riam;;;;
Pelaihari;Kampung Baru;;;;
Pelaihari;Sumber Mulia;;;;
Pelaihari;Tampang;;;;
Pelaihari;Sarang Halang;;;;
Pelaihari;Bumi Jaya;;;;
Pelaihari;Atu-Atu;;;;
Pelaihari;Angsau;;;;
Pelaihari;Pelaihari;;;;
Pelaihari;Karang Taruna;;;;
Pelaihari;Telaga;;;;
Pelaihari;Guntung Besar;;;;
Pelaihari;Panjaratan;;;;
Pelaihari;Tungkaran;;;;
Pelaihari;Panggung;;;;
Pelaihari;Pabahanan;;;;
Pelaihari;Ambungan;;;;
Pelaihari;Panggung Baru;;;;
Pelaihari;Ujung Batu;;;;
Pelaihari;Pemuda;;;;
Tanta;Walangkir;;;;
Tanta;Pulau Ku'u;;;;
Tanta;Tamiyang;;;;
Tanta;Warukin;;;;
Tanta;Padang Panjang;;;;
Tanta;Barimbun;;;;
Tanta;Padangin;;;;
Tanta;Luk Bayur;;;;
Tanta;Mangkusip;;;;
Tanta;Tanta;;;;
Tanta;Tanta Hulu;;;;
Tanta;Puain Kanan;;;;
Tanta;Pamarangan Kanan;;;;
