kecamatan,kabupaten,search_keyword,year_found,publication_title,publication_url,pdf_download_url,pdf_filename,status,error_message
Gambut,Banjar,,,,,,,error,BPS subdomain not found for banjar
Sungai Tabuk,Banjar,,,,,,,error,BPS subdomain not found for banjar
Martapura,Banjar,,,,,,,error,BPS subdomain not found for banjar
Karang Intan,Banjar,,,,,,,error,BPS subdomain not found for banjar
Astambul,Banjar,,,,,,,error,BPS subdomain not found for banjar
Simpang Empat,Banjar,,,,,,,error,BPS subdomain not found for banjar
Pengaron,Banjar,,,,,,,error,BPS subdomain not found for banjar
Sungai Pinang,Banjar,,,,,,,error,BPS subdomain not found for banjar
Aranio,Banjar,,,,,,,error,BPS subdomain not found for banjar
Mataraman,Banjar,,,,,,,error,BPS subdomain not found for banjar
Beruntung Baru,Banjar,,,,,,,error,BPS subdomain not found for banjar
Martapura Barat,Banjar,,,,,,,error,BPS subdomain not found for banjar
Martapura Timur,Banjar,,,,,,,error,BPS subdomain not found for banjar
Sambung Makmur,Banjar,,,,,,,error,BPS subdomain not found for banjar
Paramasan,Banjar,,,,,,,error,BPS subdomain not found for banjar
Telaga Bauntung,Banjar,,,,,,,error,BPS subdomain not found for banjar
Tatah Makmur,Banjar,,,,,,,error,BPS subdomain not found for banjar
Cintapuri Darussalam,Banjar,,,,,,,error,BPS subdomain not found for banjar
Tabunganen,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Tamban,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Anjir Pasar,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Anjir Muara,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Alalak,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Mandastana,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Rantau Badauh,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Belawang,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Cerbon,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Bakumpai,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Kuripan,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Tabukan,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Mekar Sari,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Barambai,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Marabahan,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Wanaraya,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Jejangkit,Barito Kuala,,,,,,,error,BPS subdomain not found for barito kuala
Binuang,Tapin,,,,,,,error,BPS subdomain not found for tapin
Tapin Selatan,Tapin,,,,,,,error,BPS subdomain not found for tapin
Tapin Tengah,Tapin,,,,,,,error,BPS subdomain not found for tapin
Tapin Utara,Tapin,,,,,,,error,BPS subdomain not found for tapin
Candi Laras Selatan,Tapin,,,,,,,error,BPS subdomain not found for tapin
Candi Laras Utara,Tapin,,,,,,,error,BPS subdomain not found for tapin
Bakarangan,Tapin,,,,,,,error,BPS subdomain not found for tapin
Piani,Tapin,,,,,,,error,BPS subdomain not found for tapin
Bungur,Tapin,,,,,,,error,BPS subdomain not found for tapin
Lokpaikat,Tapin,,,,,,,error,BPS subdomain not found for tapin
Hatungun,Tapin,,,,,,,error,BPS subdomain not found for tapin
Salam Babaris,Tapin,,,,,,,error,BPS subdomain not found for tapin
Sungai Raya,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Padang Batung,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Telaga Langsat,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Angkinang,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Kandangan,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Simpur,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Daha Selatan,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Daha Utara,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Kalumpang,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Loksado,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Daha Barat,Hulu Sungai Selatan,,,,,,,error,BPS subdomain not found for hulu sungai selatan
Haruyan,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Batu Benawa,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Labuan Amas Selatan,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Labuan Amas Utara,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Pandawan,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Barabai,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Batang Alai Selatan,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Batang Alai Utara,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Batang Alai Timur,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
