province_code,province_name,regency_code,regency_name,regency_type,district_code,district_name,village_code,village_name,village_type
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040011,Bentok Kampung,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040012,Sambangan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040013,Liang Anggang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301040,Bati - Bati,6301040014,Pandahan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050001,Bingkulu,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050002,Kayu Abang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050004,Gunung Raja,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050005,Pulau Sari,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050006,Tambang Ulang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050007,Sungai Jelai,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050008,Sungai Pinang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050009,Martadah,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301050,Tambang Ulang,6301050010,Martadah Baru,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060001,Sungai Riam,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060002,Kampung Baru,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060003,Sumber Mulia,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060004,Tampang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060005,Sarang Halang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060006,Bumi Jaya,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060014,Atu Atu,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060015,Angsau,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060016,Pelaihari,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060017,Karang Taruna,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060018,Telaga,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060019,Guntung Besar,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060020,Panjaratan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060021,Tungkaran,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060022,Panggung,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060023,Pabahanan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060026,Ambungan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060027,Panggung Baru,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060028,Ujung Batu,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301060,Pelaihari,6301060029,Pemuda (Desa Persiapan),Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061001,Tirta Jaya,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061002,Galam,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061003,Pamalongan,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061004,Ketapang,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061005,Kunyit,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061006,Bajuin,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061007,Sungai Bakar,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061008,Tanjung,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301061,Bajuin,6301061009,Tebing Siring,Kelurahan
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070001,Tajau Pecah,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070002,Jilatan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070003,Jilatan Alur,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070004,Ambawang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070005,Durian Bungkuk,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070006,Tajau Mulia,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070007,Gunung Mas,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070008,Batu Ampar,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070009,Damar Lima,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070010,Damit,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070011,Damit Hulu,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070012,Pantai Linuh,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301070,Batu Ampar,6301070014,Gunung Melati,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080001,Sabuhur,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080002,Swarangan,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080003,Alur,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080004,Jorong,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080005,Karang Rejo,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080006,Muara Asam Asam,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080007,Asam Jaya,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080008,Asri Mulia,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080009,Asam Asam,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080010,Batalang,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301080,Jorong,6301080011,Simpang Empat Sungai Baru,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090001,Pandansari,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090002,Salaman,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090003,Kintapura,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090004,Pasir Putih,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090005,Kintap Kecil,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090006,Kintap,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090007,Muara Kintap,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090008,Bukit Mulia,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090009,Sumber Jaya,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090010,Kebun Raya,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090011,Mekar Sari,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090012,Sebamban Baru,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090013,Sungai Cuka,Desa
63,Kalimantan Selatan,6301,Tanah Laut,Kabupaten,6301090,Kintap,6301090014,Riam Adungan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302010,Pulau Sembilan,6302010001,Labuan Barat,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302010,Pulau Sembilan,6302010002,Teluk Sungai,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302010,Pulau Sembilan,6302010003,Maradapan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302010,Pulau Sembilan,6302010004,Tengah,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302010,Pulau Sembilan,6302010005,Tanjung Nyiur,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020008,Lontar Selatan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020009,Lontar Utara,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020012,Lontar Timur,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020014,Tapian Balai,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020015,Sebanti,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020017,Sepagar,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020018,Sumber Sari ( Upt. Sepagar I),Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020019,Subur Makmur (Upt. Sepagar Ii),Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020020,Terangkih,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302020,Pulau Laut Barat,6302020021,Semaras,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021001,Tanjung Kunyit,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021002,Tanjung Tengah,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021003,Teluk Tamiang,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021004,Gosong Panjang,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021005,Kampung Baru,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021006,Tanjung Sungkai,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021007,Tanjung Pelayar,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021008,Banda Raya,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021009,Tata Mekar,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302021,Pulau Laut Tanjung Selayar,6302021010,Bangun Rejo,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302030,Pulau Laut Selatan,6302030009,Teluk Sirih,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302030,Pulau Laut Selatan,6302030010,Sungai Bulan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302030,Pulau Laut Selatan,6302030011,Sungai Bahim,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302030,Pulau Laut Selatan,6302030012,Alle Alle,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302030,Pulau Laut Selatan,6302030013,Tanjung Seloka,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302030,Pulau Laut Selatan,6302030014,Tanjung Serudung,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302030,Pulau Laut Selatan,6302030015,Labuan Mas,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302030,Pulau Laut Selatan,6302030016,Tanjung Seloka Utara,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031001,Pulau Kerayaan,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031002,Kerayaan Utara,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031003,Pulau Kerumputan,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031004,Pulau Kerasian,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031005,Teluk Kemuning,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031006,Teluk Aru,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031007,Tanjung Lalak Selatan,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031008,Tanjung Lalak Utara,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302031,Pulau Laut Kepulauan,6302031009,Oka-Oka,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040001,Tanjung Pengharapan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040002,Batu Tunau,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040003,Sejakah,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040004,Bekambit,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040005,Bekambit Asri,Desa
